Datum / Date,1914-06-01 00:00:00,1939-08-01 00:00:00,1966-09-01 00:00:00,1977-09-01 00:00:00,1982-12-01 00:00:00,1993-05-01 00:00:00,2000-05-01 00:00:00,2005-12-01 00:00:00,2010-12-01 00:00:00,2015-12-01 00:00:00,2020-12-01 00:00:00,% m-1,% m-12
2022-03-01,1060.3,772.9,342.1,202.9,162.7,117.5,110.8,105.3,101.0,103.8,103.0,0.6,2.4
2022-04-01,1064.2,775.7,343.4,203.7,163.3,118.0,111.2,105.7,101.4,104.2,103.3,0.4,2.5
2022-05-01,1071.1,780.8,345.6,205.0,164.4,118.7,111.9,106.3,102.1,104.9,104.0,0.7,2.9
2022-06-01,1076.5,784.7,347.3,206.0,165.2,119.3,112.5,106.9,102.6,105.4,104.5,0.5,3.4
2022-07-01,1076.1,784.4,347.2,205.9,165.2,119.3,112.4,106.8,102.6,105.4,104.5,0.0,3.4
2022-08-01,1079.0,786.5,348.1,206.5,165.6,119.6,112.7,107.1,102.8,105.7,104.8,0.3,3.5
2022-09-01,1077.1,785.1,347.5,206.1,165.3,119.4,112.5,106.9,102.6,105.5,104.6,-0.2,3.3
2022-10-01,1077.6,785.5,347.7,206.2,165.4,119.5,112.6,107.0,102.7,105.5,104.6,0.1,3.0
2022-11-01,1077.7,785.6,347.7,206.2,165.4,119.5,112.6,107.0,102.7,105.5,104.6,0.0,3.0
2022-12-01,1075.3,783.8,346.9,205.8,165.1,119.2,112.4,106.8,102.5,105.3,104.4,-0.2,2.8
2023-01-01,1081.8,788.6,349.0,207.0,166.0,119.9,113.0,107.4,103.1,105.9,105.0,0.6,3.3
2023-02-01,1089.9,794.4,351.6,208.6,167.3,120.8,113.9,108.2,103.9,106.7,105.8,0.7,3.4
2023-03-01,1091.5,795.7,352.2,208.9,167.5,121.0,114.1,108.4,104.0,106.9,106.0,0.2,2.9
2023-04-01,1091.5,795.6,352.2,208.9,167.5,121.0,114.1,108.4,104.0,106.9,106.0,0.0,2.6
2023-05-01,1094.2,797.6,353.0,209.4,168.0,121.3,114.3,108.6,104.3,107.2,106.3,0.3,2.2
2023-06-01,1094.9,798.1,353.3,209.5,168.1,121.4,114.4,108.7,104.3,107.2,106.3,0.1,1.7
2023-07-01,1093.4,797.0,352.8,209.3,167.8,121.2,114.2,108.6,104.2,107.1,106.2,-0.1,1.6
2023-08-01,1095.7,798.7,353.5,209.7,168.2,121.5,114.5,108.8,104.4,107.3,106.4,0.2,1.6
2023-09-01,1094.9,798.1,353.3,209.5,168.1,121.4,114.4,108.7,104.3,107.2,106.3,-0.1,1.7
2023-10-01,1095.9,798.8,353.6,209.7,168.2,121.5,114.5,108.8,104.4,107.3,106.4,0.1,1.7
